acc,taxid,organism,clade,taxon,slen
GU981731.1,998008,"Grewia orientalis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1408
GU981730.1,998010,"Schoutenia ovata ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1431
GU981729.1,96480,"Malva pusilla ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1429
GU981728.1,577011,"Luehea divaricata ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1430
GU981727.1,998009,"Guazuma crinita ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1434
GU981726.1,93767,"Fremontodendron californicum ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1431
GU981723.1,210349,"Excentrodendron hsienmu ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1430
GU981722.1,93745,"Brachychiton acerifolius ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1430
GU981721.1,69109,"Adansonia digitata ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1429
GU981720.1,29729,"Gossypium arboreum ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1431
HM100377.1,182302,"Franklinia alatamaha ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit protein (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1425
FJ381827.1,99438,"Lumnitzera racemosa ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1445
FJ381826.1,190524,"Laguncularia racemosa ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1448
FJ381825.1,190524,"Laguncularia racemosa ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1448
FJ381822.1,578696,"Conocarpus sericeus ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1430
FJ381821.1,172200,"Terminalia arjuna ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1427
FJ381820.1,578559,"Terminalia trichopoda ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1445
FJ381819.1,578558,"Terminalia tomentosa ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1446
FJ381818.1,578556,"Terminalia stenostachya ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1448
FJ381817.1,578555,"Terminalia sambesiaca ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1448
FJ381815.1,578553,"Terminalia mantaly ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1420
FJ381813.1,578550,"Terminalia ivorensis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1436
FJ381812.1,155022,"Terminalia chebula ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1446
FJ381811.1,39993,"Terminalia catappa ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1443
FJ381810.1,578549,"Terminalia brachystemma ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1446
FJ381809.1,578557,"Terminalia stuhlmannii ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1448
FJ381808.1,155021,"Terminalia bellirica ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1430
FJ381807.1,578533,"Bucida buceras ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1420
FJ381805.1,470568,"Buchenavia tetraphylla ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1445
FJ381804.1,2777734,"Buchenavia reticulata ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1444
FJ381803.1,578546,"Guiera senegalensis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1448
FJ381802.1,2743237,"Thiloa glaucocarpa ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1448
FJ381801.1,578540,"Combretum goldieanum ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1447
FJ381799.1,578548,"Quisqualis parviflora ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1445
FJ381798.1,3956,"Quisqualis indica ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1430
FJ381797.1,578541,"Combretum grandiflorum ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1448
FJ381796.1,2807183,"Calopyxis grandidieri ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1447
FJ381795.1,2807183,"Calopyxis grandidieri ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1417
FJ381794.1,578547,"Meiostemon humbertii ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1448
FJ381791.1,578544,"Combretum sp. A (Winter 7225) ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1424
FJ381790.1,578537,"Combretum collinum subsp. hypopilinum ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1411
FJ381788.1,578538,"Combretum fragrans ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1445
EU717288.1,556521,"Tephrosia rhodesica isolate 17 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1420
EU717273.1,3821,"Cajanus cajan isolate 121 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1420
EU717266.1,3917,"Vigna unguiculata isolate 27 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1420
EU717256.1,3847,"Glycine max isolate 92 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1420
EU717255.1,53836,"Bituminaria bituminosa isolate 119 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1428
EU817432.1,86994,"Scyphiphora hydrophyllacea ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
EU817431.1,499975,"Alberta sambiranensis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1429
EU817430.1,29798,"Myonima violacea ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
EU817428.1,568198,"Ixora tanzaniensis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1422
EU817427.1,568194,"Ixora brunonis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1416
EU817426.1,568196,"Ixora littoralis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1460
EU817425.1,58481,"Ixora hookeri ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1411
EU817424.1,568195,"Ixora guineensis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1454
EU817421.1,568193,"Ixora brachypoda ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1452
EU817420.1,568197,"Ixora moorensis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1461
EU817415.1,568187,"Captaincookia margaretae ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1446
EU817414.1,440681,"Peponidium cystiporon ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1416
EU817413.1,339279,"Aulacocalyx jasminiflora ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1450
EU817412.1,440679,"Augusta austrocaledonica ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1446
EU817410.1,339274,"Alberta minor ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1464
FJ225853.1,82386,"Tuberaria guttata voucher 44BGA04 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1404
FJ225851.1,335158,"Helianthemum squamatum voucher 70BGA04 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1405
EU713448.1,519282,"Campanula jacquinii ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1421
EU713444.1,529363,"Campanula spathulata subsp. filicaulis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
EU713443.1,239422,"Campanula rotundifolia ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
EU713436.1,519276,"Campanula aizoides ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
EU713435.1,28494,"Trachelium caeruleum ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Eudicots,eudicotyledons,1428
EU713433.1,239464,"Petromarula pinnata ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
EU713398.1,239403,"Campanula erinus ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
EU713397.1,428166,"Campanula creutzburgii ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
EU713396.1,428184,"Campanula pinatzii ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1421
EU713395.1,519281,"Campanula hierapetrae ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
EU713371.1,28491,"Cyphia elata ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1425
EU713369.1,519300,"Solenopsis minuta ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
EU713368.1,519278,"Campanula carpatha ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
EU713367.1,519294,"Legousia pentagonia ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Eudicots,eudicotyledons,1428
EU713352.1,519289,"Campanula tubulosa ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
EU713351.1,519283,"Campanula laciniata ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
EU713350.1,519284,"Campanula pelviformis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
EU713349.1,519286,"Campanula saxatilis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
EU644699.1,174503,"Bredemeyera floribunda ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1405
EU644698.1,544467,"Monnina aestuans ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1405
EU644697.1,544468,"Monnina glaberrima ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1405
EU644695.1,520885,"Monnina phytolaccifolia ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1405
EU644694.1,544470,"Monnina salicifolia ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1400
EU644693.1,547251,"Monnina sp. 1 Gonzalez 4191 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1405
EU644692.1,547250,"Monnina sp. 2 Gonzalez 4190 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1405
EU644691.1,544471,"Polygala galioides ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1401
EU644690.1,547249,"Polygala jamaicensis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1405
EU644689.1,544472,"Polygala hygrophila ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1405
EU644687.1,375128,"Polygala tenella ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1400
EU644684.1,375128,"Polygala paniculata ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1405
EU644683.1,544476,"Polygala subtilis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1405
EU644682.1,547248,"Securidaca bialata ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1400
EU644676.1,66627,"Bulnesia arborea ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1405
EU017277.1,28494,"Trachelium caeruleum ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1425
EU017199.1,112242,"Scaevola aemula ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1437
EU017122.1,196578,"Passiflora biflora ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1425
EU016783.1,40922,"Anethum graveolens ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1425
DQ452887.1,314613,"Geranium tuberosum ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1408
DQ452886.1,379946,"Geranium divaricatum ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1408
DQ452885.1,379937,"Geranium biuncinatum ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1408
DQ452884.1,379933,"Geranium albanum ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1408
DQ452883.1,337389,"Erodium malacoides ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1408
DQ452882.1,301481,"Erodium cicutarium ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1408
DQ452881.1,337350,"Erodium antariense ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1408
DQ452880.1,337404,"Erodium sebaceum ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1408
DQ452879.1,337358,"Erodium brachycarpum ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1408
DQ452878.1,337370,"Erodium cygnorum ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1408
DQ452877.1,337369,"Erodium crinitum ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1408
DQ452876.1,337345,"Erodium absinthoides ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1403
DQ452875.1,337365,"Erodium ciconium ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1408
DQ452874.1,337380,"Erodium gruinum ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1408
DQ452873.1,337397,"Erodium pelargoniflorum ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1408
DQ452872.1,337383,"Erodium hoefftianum ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1408
DQ452871.1,337405,"Erodium stephanianum ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1408
DQ452870.1,337379,"Erodium glaucophyllum ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1408
DQ452869.1,337344,"California macrophylla ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1408
DQ452868.1,163689,"Monsonia nivea ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1408
DQ452867.1,163685,"Monsonia marlothii ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1408
DQ443463.1,380226,"Guamatela tuerckheimii isolate 297 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1405
DQ356166.1,368688,"Lobelia kalmii ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356165.1,368693,"Lobelia roughii ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356164.1,368691,"Pratia nummularia ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356162.1,368684,"Lobelia dortmanna ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356161.1,471949,"Isotoma fluviatilis subsp. fluviatilis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356160.1,368692,"Pratia purpurascens ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356159.1,74744,"Lobelia oligophylla ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356158.1,368667,"Centropogon cornutus ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356157.1,368668,"Centropogon gamosepalus ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356156.1,368698,"Siphocampylus brevicalyx ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356155.1,368697,"Siphocampylus affinis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356154.1,368699,"Siphocampylus giganteus ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356153.1,673921,"Siphocampylus macropodus ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356152.1,434390,"Centropogon granulosus subsp. granulosus ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356151.1,368669,"Centropogon luteus ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356149.1,368670,"Centropogon trichodes ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356148.1,368665,"Burmeistera domingensis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356146.1,360852,"Lobelia excelsa ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356145.1,104598,"Lobelia tupa ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356144.1,368695,"Lobelia xalapensis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356143.1,252775,"Lobelia laxiflora ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356142.1,673920,"Lobelia portoricensis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356141.1,368694,"Lobelia stricta ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356140.1,368676,"Hippobroma longiflora ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356139.1,368690,"Lobelia martagon ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356138.1,368674,"Diastatea micrantha ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356137.1,360867,"Trematolobelia macrostachys ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356136.1,368686,"Lobelia fistulosa ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356135.1,368685,"Lobelia exaltata ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356134.1,368678,"Solenopsis laurentia ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356133.1,74751,"Lysipomia cuspidata ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356132.1,74774,"Lysipomia sphagnophila ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356131.1,368689,"Lobelia leschenaultiana ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356130.1,673919,"Lobelia sonderiana ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356129.1,368687,"Lobelia graniticola ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
DQ356128.1,368672,"Cyanea koolauensis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Eudicots,eudicotyledons,1402
