acc,taxid,slen,organelle_class
NC_016425.1,1052875,17086,mitochondrion
NC_016426.1,201498,16833,mitochondrion
NC_016427.1,82464,16379,mitochondrion
NC_016428.1,39030,16263,mitochondrion
NC_016430.1,82096,156768,photosynthetic plastid
NC_016431.1,681720,24850,mitochondrion
NC_016432.1,796621,15851,mitochondrion
NC_016433.2,4182,153324,photosynthetic plastid
NC_016465.1,498518,16898,mitochondrion
NC_016466.1,12993,15949,mitochondrion
NC_016468.1,472368,153493,photosynthetic plastid
NC_016469.1,658857,16823,mitochondrion
NC_016470.1,9696,17153,mitochondrion
NC_016471.1,48534,92060,photosynthetic plastid
NC_016661.1,211834,16543,mitochondrion
NC_016662.1,754351,16261,mitochondrion
NC_016663.1,689625,16748,mitochondrion
NC_016664.1,764832,16568,mitochondrion
NC_016665.1,165599,16784,mitochondrion
NC_016667.1,224705,17158,mitochondrion
NC_016668.1,29730,160161,photosynthetic plastid
NC_016669.1,691800,16726,mitochondrion
NC_016670.1,34276,160378,photosynthetic plastid
NC_016671.1,521031,16653,mitochondrion
NC_016672.1,435225,16599,mitochondrion
NC_016673.1,691801,16707,mitochondrion
NC_016674.1,689653,16681,mitochondrion
NC_016676.1,933850,14487,mitochondrion
NC_016677.1,196901,136551,photosynthetic plastid
NC_016678.1,689626,16730,mitochondrion
NC_016679.1,30408,16680,mitochondrion
NC_016680.1,169388,62978,mitochondrion
NC_016682.1,373995,16821,mitochondrion
NC_016683.1,521034,16738,mitochondrion
NC_016684.1,4874,96998,mitochondrion
NC_016685.1,260630,16461,mitochondrion
NC_016686.1,137246,16703,mitochondrion
NC_016687.1,117187,53753,mitochondrion
NC_016688.1,689628,16736,mitochondrion
NC_016689.1,112503,16663,mitochondrion
NC_016690.1,34277,160433,photosynthetic plastid
NC_016691.1,204942,16561,mitochondrion
NC_016693.1,1054643,16686,mitochondrion
NC_016694.1,365056,16698,mitochondrion
NC_016695.1,521033,16735,mitochondrion
NC_016698.1,521036,16736,mitochondrion
NC_016699.1,524874,139704,photosynthetic plastid
NC_016700.1,445363,16541,mitochondrion
NC_016701.1,367269,16645,mitochondrion
NC_016702.1,689640,16729,mitochondrion
NC_016703.2,33657,105512,photosynthetic plastid
NC_016704.1,1006002,15468,mitochondrion
NC_016705.1,689641,16672,mitochondrion
NC_016706.1,454032,16749,mitochondrion
NC_016707.1,1088058,16478,mitochondrion
NC_016708.2,56065,152968,photosynthetic plastid
NC_016709.1,689646,16661,mitochondrion
NC_016710.1,691795,16741,mitochondrion
NC_016711.1,34275,160313,photosynthetic plastid
NC_016712.1,29729,160230,photosynthetic plastid
NC_016713.1,127404,16183,mitochondrion
NC_016714.1,689647,16639,mitochondrion
NC_016715.1,691797,16554,mitochondrion
NC_016716.1,127405,16236,mitochondrion
NC_016717.1,689649,16689,mitochondrion
NC_016718.1,110453,136303,photosynthetic plastid
NC_016719.1,691798,16560,mitochondrion
NC_016720.1,76235,15166,mitochondrion
NC_016721.1,1285244,16712,mitochondrion
NC_016722.1,478208,16089,mitochondrion
NC_016723.1,670348,16595,mitochondrion
NC_016724.1,76239,15164,mitochondrion
NC_016725.1,689624,16748,mitochondrion
NC_016726.1,96886,16652,mitochondrion
NC_016727.1,42043,151583,photosynthetic plastid
NC_016728.1,39899,151639,photosynthetic plastid
NC_016729.1,39875,147208,photosynthetic plastid
NC_016730.1,37657,151736,photosynthetic plastid
NC_016731.1,1436140,116251,photosynthetic plastid
NC_016732.1,3046,269044,photosynthetic plastid
NC_016733.1,3159,98340,photosynthetic plastid
NC_016734.1,3708,152860,photosynthetic plastid
NC_016735.1,49266,124986,photosynthetic plastid
NC_016736.1,3988,163161,photosynthetic plastid
NC_016738.1,2829,38690,mitochondrion
NC_016739.1,2850,77356,mitochondrion
NC_016740.1,42345,715001,mitochondrion
NC_016741.1,472368,510519,mitochondrion
NC_016742.1,56065,425718,mitochondrion
NC_016743.2,34305,380861,mitochondrion
NC_016753.1,4460,162424,photosynthetic plastid
NC_016754.1,1100885,14281,mitochondrion
NC_016756.1,1034331,23497,mitochondrion
NC_016865.1,991131,16000,mitochondrion
NC_016867.1,76340,16500,mitochondrion
NC_016868.1,8161,16537,mitochondrion
NC_016869.1,302047,16532,mitochondrion
NC_016870.1,41447,16530,mitochondrion
NC_016871.1,27634,16709,mitochondrion
NC_016872.1,27674,16438,mitochondrion
NC_016873.1,258930,17048,mitochondrion
NC_016889.1,676961,19629,mitochondrion
NC_016890.1,990946,18561,mitochondrion
NC_016891.1,2602928,18154,mitochondrion
NC_016892.1,72446,16590,mitochondrion
NC_016916.1,51329,13135,mitochondrion
NC_016920.1,109296,16361,mitochondrion
NC_016921.1,519533,156612,photosynthetic plastid
NC_016925.1,315723,16220,mitochondrion
NC_016926.1,6728,15928,mitochondrion
NC_016927.1,40149,134558,photosynthetic plastid
NC_016949.1,289398,19620,mitochondrion
NC_016950.1,1086615,15031,mitochondrion
NC_016951.1,176196,16443,mitochondrion
NC_016952.1,6230,14666,mitochondrion
NC_016953.1,707972,17575,mitochondrion
NC_016954.1,80345,17690,mitochondrion
NC_016955.1,52884,63363,mitochondrion
NC_016956.1,6978,15584,mitochondrion
NC_016957.1,161997,62785,mitochondrion
NC_016985.1,44941,97350,mitochondrion
NC_016986.1,3311,156988,photosynthetic plastid
NC_017006.1,996148,146221,photosynthetic plastid
NC_017007.1,280486,16029,mitochondrion
NC_017016.1,746128,30696,mitochondrion
NC_017598.1,181804,80193,mitochondrion
NC_017599.1,129246,16298,mitochondrion
NC_017600.1,439396,15740,mitochondrion
NC_017602.1,51953,156973,photosynthetic plastid
NC_017603.1,27689,16763,mitochondrion
NC_017604.1,541010,16727,mitochondrion
NC_017605.1,318685,15169,mitochondrion
NC_017606.1,435234,16626,mitochondrion
NC_017607.1,573971,16554,mitochondrion
NC_017608.1,84645,16626,mitochondrion
NC_017609.1,78828,148959,photosynthetic plastid
NC_017610.1,448029,16496,mitochondrion
NC_017611.1,683832,16600,mitochondrion
NC_017612.1,13268,15660,mitochondrion
NC_017613.1,463145,13724,mitochondrion
NC_017614.1,177615,16596,mitochondrion
NC_017615.1,433352,13725,mitochondrion
NC_017616.1,194331,16535,mitochondrion
NC_017744.1,1170475,15268,mitochondrion
NC_017745.1,2599316,14772,mitochondrion
NC_017746.1,55720,17360,mitochondrion
NC_017747.1,68888,14436,mitochondrion
NC_017748.1,7024,16537,mitochondrion
NC_017749.1,279094,16172,mitochondrion
NC_017750.1,36087,14046,mitochondrion
NC_017751.1,1262161,37023,mitochondrion
NC_017752.1,51805,14368,mitochondrion
NC_017754.2,73025,67623,photosynthetic plastid
NC_017755.1,73615,413530,mitochondrion
NC_017756.1,65640,14809,mitochondrion
NC_017757.1,65642,14769,mitochondrion
NC_017758.1,2599317,14627,mitochondrion
NC_017759.1,65641,14705,mitochondrion
NC_017760.1,178002,15651,mitochondrion
NC_017835.1,4529,134544,photosynthetic plastid
NC_017836.1,2762,51557,mitochondrion
NC_017837.1,2788,41688,mitochondrion
NC_017838.1,8018,16656,mitochondrion
NC_017840.1,29656,228493,mitochondrion
NC_017841.1,145475,49343,mitochondrion
NC_017869.1,63990,15384,mitochondrion
NC_017870.1,385653,16268,mitochondrion
NC_017871.1,164973,17100,mitochondrion
NC_017872.1,649475,14610,mitochondrion
NC_017873.1,327700,16585,mitochondrion
NC_017874.1,992350,15365,mitochondrion
NC_017875.1,204961,16844,mitochondrion
NC_017876.1,661228,16734,mitochondrion
NC_017877.1,166045,15513,mitochondrion
NC_017878.1,241440,16623,mitochondrion
NC_017879.1,443748,16797,mitochondrion
NC_017880.1,86224,16508,mitochondrion
NC_017881.1,1040949,16666,mitochondrion
NC_017882.1,586796,16755,mitochondrion
NC_017883.1,48171,16898,mitochondrion
NC_017884.1,143330,16888,mitochondrion
NC_017885.1,241441,16649,mitochondrion
NC_017886.1,137544,15495,mitochondrion
NC_017887.1,479651,16835,mitochondrion
NC_017888.1,166764,16496,mitochondrion
NC_017889.1,48194,16828,mitochondrion
NC_017891.1,300413,16696,mitochondrion
NC_017892.1,1003962,17132,mitochondrion
NC_017893.1,48196,17216,mitochondrion
NC_017894.1,34282,159959,photosynthetic plastid
NC_017895.1,1040945,16550,mitochondrion
NC_017896.1,227321,33227,mitochondrion
NC_017897.1,1040953,16974,mitochondrion
NC_017898.1,1040955,17119,mitochondrion
NC_017900.1,1040957,16821,mitochondrion
NC_017901.1,904230,16990,mitochondrion
NC_017902.2,1111463,16748,mitochondrion
NC_017929.1,413601,14591,mitochondrion
NC_017930.1,5507,34477,mitochondrion
NC_018029.1,113334,15170,mitochondrion
NC_018030.1,171587,15172,mitochondrion
NC_018031.1,879209,13392,mitochondrion
NC_018032.1,344906,16356,mitochondrion
NC_018033.1,83285,16683,mitochondrion
NC_018034.1,459761,16707,mitochondrion
NC_018038.1,1045278,16580,mitochondrion
NC_018040.1,76199,15340,mitochondrion
NC_018041.1,4155,525671,mitochondrion
NC_018042.1,944168,28269,mitochondrion
NC_018043.1,670200,16595,mitochondrion
NC_018044.1,27291,71355,mitochondrion
NC_018045.1,315492,16601,mitochondrion
NC_018046.1,5476,33928,mitochondrion
NC_018047.1,76193,15185,mitochondrion
NC_018048.1,797160,15622,mitochondrion
NC_018050.1,146912,16818,mitochondrion
NC_018051.1,3917,152415,photosynthetic plastid
NC_018052.1,1053780,16693,mitochondrion
NC_018054.1,983304,16505,mitochondrion
NC_018056.1,4934,51679,mitochondrion
NC_018057.1,224329,16553,mitochondrion
NC_018058.1,1194334,16550,mitochondrion
NC_018059.1,1194336,16550,mitochondrion
NC_018060.1,1194335,16550,mitochondrion
NC_018061.1,310352,16536,mitochondrion
NC_018062.1,1194332,16535,mitochondrion
NC_018063.1,1194333,16535,mitochondrion
NC_018064.1,376893,16515,mitochondrion
NC_018094.1,869563,16173,mitochondrion
NC_018095.1,869564,15816,mitochondrion
NC_018096.1,39432,16473,mitochondrion
NC_018097.1,6815,15528,mitochondrion
NC_018099.1,143606,16601,mitochondrion
NC_018100.1,1160506,29192,mitochondrion
NC_018109.1,47637,159205,photosynthetic plastid
NC_018110.1,47635,159539,photosynthetic plastid
NC_018111.1,47634,159467,photosynthetic plastid
NC_018112.1,47636,159572,photosynthetic plastid
NC_018113.1,3636,159849,photosynthetic plastid
NC_018114.1,154679,143164,photosynthetic plastid
NC_018116.1,37293,16469,mitochondrion
NC_018117.1,4076,155871,photosynthetic plastid
NC_018118.1,1146932,14932,mitochondrion
NC_018119.1,229290,16507,mitochondrion
NC_018120.1,13139,15487,mitochondrion
NC_018121.1,105774,16039,mitochondrion
NC_018122.1,70922,15704,mitochondrion
NC_018123.1,7503,15483,mitochondrion
NC_018124.1,105798,15799,mitochondrion
NC_018125.1,119669,16326,mitochondrion
NC_018126.1,1199066,15864,mitochondrion
NC_018127.1,1199068,16370,mitochondrion
NC_018128.1,138608,16351,mitochondrion
NC_018129.1,1199067,16542,mitochondrion
NC_018130.1,1199065,16330,mitochondrion
NC_018131.1,114645,15849,mitochondrion
NC_018132.1,63626,15373,mitochondrion
NC_018133.1,37776,15236,mitochondrion
NC_018134.1,1204564,16610,mitochondrion
NC_018135.1,100907,18704,mitochondrion
NC_018339.1,696089,16462,mitochondrion
NC_018340.1,52237,18863,mitochondrion
NC_018342.1,1115630,16669,mitochondrion
NC_018343.1,882799,28227,mitochondrion
NC_018344.1,60593,17265,mitochondrion
NC_018346.1,129397,15140,mitochondrion
NC_018347.1,912804,16500,mitochondrion
NC_018349.1,696091,16372,mitochondrion
NC_018350.1,186067,15642,mitochondrion
NC_018351.1,696090,15052,mitochondrion
NC_018352.1,219407,16902,mitochondrion
NC_018353.1,694456,14763,mitochondrion
NC_018354.1,114905,15026,mitochondrion
NC_018355.1,192923,15861,mitochondrion
NC_018356.1,187796,15476,mitochondrion
NC_018358.1,43332,16355,mitochondrion
NC_018359.1,100816,45590,mitochondrion
NC_018361.1,1170231,14970,mitochondrion
NC_018362.1,73031,16014,mitochondrion
NC_018363.1,103827,13668,mitochondrion
NC_018364.1,213639,15841,mitochondrion
NC_018365.1,5353,121394,mitochondrion
NC_018367.1,93163,16443,mitochondrion
NC_018368.1,96741,17043,mitochondrion
NC_018369.2,34613,14566,mitochondrion
NC_018370.1,133901,14889,mitochondrion
NC_018371.1,465791,16799,mitochondrion
NC_018372.1,1125681,16352,mitochondrion
NC_018373.1,1125678,18182,mitochondrion
NC_018374.1,1125679,17117,mitochondrion
NC_018376.1,444102,16749,mitochondrion
NC_018377.1,86606,20448,mitochondrion
NC_018378.1,37510,18643,mitochondrion
NC_018379.1,3286453,18742,mitochondrion
NC_018380.1,1214922,18733,mitochondrion
NC_018523.1,88149,130584,photosynthetic plastid
NC_018534.1,291814,16611,mitochondrion
NC_018535.1,146136,16377,mitochondrion
NC_018536.1,1051332,13768,mitochondrion
NC_018537.1,128124,17922,mitochondrion
NC_018538.1,1091408,20456,mitochondrion
NC_018539.1,337453,16775,mitochondrion
NC_018540.1,186990,16784,mitochondrion
NC_018542.1,1136943,15104,mitochondrion
NC_018543.1,215053,15128,mitochondrion
NC_018544.1,2786,29123,mitochondrion
NC_018545.1,1155016,15363,mitochondrion
NC_018546.1,30732,16864,mitochondrion
NC_018547.1,753488,15646,mitochondrion
NC_018548.1,2772041,16769,mitochondrion
NC_018549.1,415194,16470,mitochondrion
NC_018550.1,27790,16281,mitochondrion
NC_018551.1,3726,258426,mitochondrion
NC_018552.1,4072,156781,photosynthetic plastid
NC_018553.1,72011,16649,mitochondrion
NC_018555.1,323800,16579,mitochondrion
NC_018556.1,163623,16579,mitochondrion
NC_018557.1,526958,16583,mitochondrion
NC_018558.1,311526,16584,mitochondrion
NC_018559.1,445506,16584,mitochondrion
NC_018560.1,8154,16578,mitochondrion
NC_018561.1,106584,16583,mitochondrion
NC_018562.1,57303,16583,mitochondrion
NC_018563.1,163638,16583,mitochondrion
NC_018564.1,205486,16585,mitochondrion
NC_018565.1,414717,154896,photosynthetic plastid
NC_018567.1,1503337,16406,mitochondrion
NC_018568.1,1208065,74423,mitochondrion
NC_018569.1,1208065,149707,photosynthetic plastid
NC_018596.1,483153,13904,mitochondrion
NC_018597.1,93034,13946,mitochondrion
NC_018598.1,1536768,16530,mitochondrion
NC_018599.1,46573,15940,mitochondrion
NC_018600.1,403224,16692,mitochondrion
NC_018601.1,369654,16586,mitochondrion
NC_018602.1,321387,13422,mitochondrion
NC_018603.1,59531,16426,mitochondrion
NC_018753.1,61852,16478,mitochondrion
NC_018754.1,941637,15933,mitochondrion
NC_018755.1,457520,16571,mitochondrion
NC_018761.1,490051,15495,mitochondrion
NC_018763.1,545777,22040,mitochondrion
NC_018764.1,143403,16591,mitochondrion
NC_018765.1,948382,16166,mitochondrion
NC_018768.1,323804,16562,mitochondrion
NC_018769.1,175781,16530,mitochondrion
NC_018770.1,290630,16536,mitochondrion
NC_018771.1,120495,18982,mitochondrion
NC_018772.1,1204440,15734,mitochondrion
NC_018773.1,152218,16802,mitochondrion
NC_018774.1,595395,16568,mitochondrion
NC_018775.1,288556,17716,mitochondrion
NC_018776.1,8354,17474,mitochondrion
NC_018777.1,235402,18236,mitochondrion
NC_018778.1,1212462,15910,mitochondrion
NC_018780.1,73335,16409,mitochondrion
NC_018781.1,192603,16407,mitochondrion
NC_018785.1,265032,17631,mitochondrion
NC_018786.1,437758,16677,mitochondrion
NC_018787.1,47773,15936,mitochondrion
NC_018788.1,9305,17117,mitochondrion
NC_018789.1,994863,16612,mitochondrion
NC_018790.1,361172,19886,mitochondrion
NC_018793.1,74916,16489,mitochondrion
NC_018794.1,84839,16780,mitochondrion
NC_018795.1,84803,16775,mitochondrion
NC_018796.1,555234,16773,mitochondrion
NC_018797.1,84841,16777,mitochondrion
NC_018798.1,1235644,16769,mitochondrion
NC_018799.1,993346,16773,mitochondrion
NC_018800.1,504886,16766,mitochondrion
NC_018801.1,39638,16775,mitochondrion
NC_018802.1,84812,16768,mitochondrion
NC_018803.1,84782,16768,mitochondrion
NC_018804.1,109390,16773,mitochondrion
NC_018805.1,84850,16769,mitochondrion
NC_018806.1,84833,16757,mitochondrion
NC_018807.1,555144,16771,mitochondrion
NC_018808.1,84795,16771,mitochondrion
NC_018809.1,84849,16770,mitochondrion
NC_018810.1,84831,16768,mitochondrion
NC_018811.1,84835,16774,mitochondrion
NC_018812.1,84819,16781,mitochondrion
NC_018813.1,555143,16771,mitochondrion
NC_018814.1,244518,16588,mitochondrion
NC_018815.1,8150,16590,mitochondrion
NC_018816.1,75354,16623,mitochondrion
NC_018817.1,1001947,16602,mitochondrion
NC_018818.1,3004155,16607,mitochondrion
NC_018820.1,3004147,16602,mitochondrion
NC_018822.1,7888,16657,mitochondrion
NC_018823.1,88147,16522,mitochondrion
NC_018824.1,1238289,16573,mitochondrion
NC_018825.1,155063,16605,mitochondrion
NC_018827.1,84817,16765,mitochondrion
NC_019571.1,321389,13913,mitochondrion
NC_019572.1,8167,16537,mitochondrion
NC_019574.1,1245217,16612,mitochondrion
NC_019575.1,886298,16602,mitochondrion
NC_019577.1,82174,16392,mitochondrion
NC_019578.2,38241,16390,mitochondrion
NC_019579.1,867383,16547,mitochondrion
NC_019580.1,271260,16552,mitochondrion
NC_019581.1,1042121,16529,mitochondrion
NC_019582.1,54137,16554,mitochondrion
NC_019583.1,66063,16544,mitochondrion
NC_019584.1,129247,16282,mitochondrion
NC_019585.1,214933,16288,mitochondrion
NC_019586.1,118254,16073,mitochondrion
NC_019587.1,992332,16585,mitochondrion
NC_019588.1,103592,16387,mitochondrion
NC_019589.1,103596,16388,mitochondrion
NC_019590.1,48747,16383,mitochondrion
NC_019591.1,682059,16389,mitochondrion
NC_019592.1,175789,16530,mitochondrion
NC_019593.1,1041165,18165,mitochondrion
NC_019594.1,452402,15588,mitochondrion
NC_019595.1,696245,16660,mitochondrion
NC_019596.1,1043697,17103,mitochondrion
NC_019601.1,101007,155603,photosynthetic plastid
NC_019602.1,101015,155621,photosynthetic plastid
NC_019605.1,263515,16686,mitochondrion
NC_019606.1,516884,15761,mitochondrion
NC_019607.1,479409,16143,mitochondrion
NC_019608.1,1114971,15528,mitochondrion
NC_019609.1,576631,14909,mitochondrion
NC_019610.1,2734678,15240,mitochondrion
NC_019612.1,55152,16513,mitochondrion
NC_019614.1,219680,16604,mitochondrion
NC_019615.1,110072,20309,mitochondrion
NC_019616.1,13750,176045,photosynthetic plastid
NC_019617.1,349709,16298,mitochondrion
NC_019618.1,417485,16723,mitochondrion
NC_019619.1,1111782,15877,mitochondrion
NC_019620.1,245975,16601,mitochondrion
NC_019621.1,590635,16617,mitochondrion
NC_019622.1,7107,15365,mitochondrion
NC_019623.1,6848,15033,mitochondrion
NC_019624.1,70446,16537,mitochondrion
NC_019626.1,977878,16982,mitochondrion
NC_019627.1,114069,17910,mitochondrion
NC_019628.1,304445,120546,photosynthetic plastid
NC_019629.1,240825,16549,mitochondrion
NC_019630.1,1240730,16592,mitochondrion
NC_019631.1,81419,15491,mitochondrion
NC_019632.1,69364,15236,mitochondrion
NC_019633.1,115424,15273,mitochondrion
NC_019634.1,45450,15412,mitochondrion
NC_019635.1,318703,15839,mitochondrion
NC_019636.1,34676,15170,mitochondrion
NC_019637.1,186148,15877,mitochondrion
NC_019638.1,195107,15938,mitochondrion
NC_019639.1,7373,16112,mitochondrion
NC_019640.1,1240982,15331,mitochondrion
NC_019641.1,651724,17638,mitochondrion
NC_019642.1,1210872,14440,mitochondrion
NC_019643.1,195299,18264,mitochondrion
NC_019644.1,286537,17143,mitochondrion
NC_019646.1,360505,16339,mitochondrion
NC_019647.1,166754,17119,mitochondrion
NC_019648.1,145835,135272,photosynthetic plastid
NC_019649.1,98750,133165,photosynthetic plastid
NC_019650.1,4608,135291,photosynthetic plastid
NC_019651.1,4521,135175,photosynthetic plastid
NC_019652.1,75372,16619,mitochondrion
NC_019653.1,1199184,14355,mitochondrion
NC_019654.1,1199168,14543,mitochondrion
NC_019655.1,1199162,14507,mitochondrion
NC_019656.1,931575,14770,mitochondrion
NC_019657.1,1199190,15037,mitochondrion
NC_019658.1,1199243,14711,mitochondrion
NC_019659.1,1199244,14478,mitochondrion
NC_019660.1,931576,14787,mitochondrion
NC_019662.2,1041814,15157,mitochondrion
NC_019663.1,1029659,14425,mitochondrion
NC_019664.1,266351,16868,mitochondrion
NC_019665.1,44318,16768,mitochondrion
NC_019666.1,665151,16844,mitochondrion
NC_019667.1,242120,16891,mitochondrion
NC_019668.1,665152,16873,mitochondrion
NC_019799.1,43147,16580,mitochondrion
NC_019800.1,9507,16560,mitochondrion
NC_019801.1,230833,16563,mitochondrion
NC_019802.1,9565,16546,mitochondrion
NC_019803.1,66065,13764,mitochondrion
NC_019804.1,678581,18043,mitochondrion
NC_019805.1,185727,13659,mitochondrion
NC_019807.1,185730,13574,mitochondrion
NC_019808.1,1032456,14282,mitochondrion
NC_019809.1,44604,13300,mitochondrion
NC_019810.1,29172,13310,mitochondrion
NC_019811.1,646537,16478,mitochondrion
NC_019993.1,183410,15646,mitochondrion
NC_019994.1,227354,15665,mitochondrion
NC_019995.1,307950,16581,mitochondrion
NC_019996.1,928821,15759,mitochondrion
NC_019998.1,143568,17620,mitochondrion
NC_020000.1,1005956,18905,mitochondrion
NC_020001.1,8425,16407,mitochondrion
NC_020002.1,288794,19295,mitochondrion
NC_020003.2,82600,15253,mitochondrion
NC_020004.1,1229185,15517,mitochondrion
NC_020005.1,516015,16530,mitochondrion
NC_020006.2,9555,16516,mitochondrion
NC_020007.2,9556,16515,mitochondrion
NC_020008.2,208091,16504,mitochondrion
NC_020009.2,100937,16505,mitochondrion
NC_020010.2,36229,16496,mitochondrion
NC_020011.1,188791,16559,mitochondrion
NC_020012.1,413233,16558,mitochondrion
NC_020013.1,194371,16626,mitochondrion
NC_020014.1,72520,114989,photosynthetic plastid
NC_020015.1,72520,42213,mitochondrion
NC_020016.1,334885,16511,mitochondrion
NC_020017.1,1267572,16351,mitochondrion
NC_020018.1,304863,74746,photosynthetic plastid
NC_020020.1,6707,14316,mitochondrion
NC_020021.1,215716,15253,mitochondrion
NC_020022.1,204053,15663,mitochondrion
NC_020023.1,1267414,15680,mitochondrion
NC_020024.1,941218,15324,mitochondrion
NC_020025.1,1267413,15481,mitochondrion
NC_020027.1,288646,15111,mitochondrion
NC_020028.1,49198,16811,mitochondrion
NC_020029.1,6741,16720,mitochondrion
NC_020030.1,160677,14732,mitochondrion
NC_020031.1,533009,15374,mitochondrion
NC_020032.1,195640,17315,mitochondrion
NC_020038.1,611294,16881,mitochondrion
NC_020039.1,460617,16680,mitochondrion
NC_020040.1,78102,15460,mitochondrion
NC_020041.1,328532,16612,mitochondrion
NC_020042.1,171525,16611,mitochondrion
NC_020043.1,43963,42757,mitochondrion
NC_020044.1,113380,17174,mitochondrion
NC_020046.1,293821,16648,mitochondrion
NC_020047.1,327774,16545,mitochondrion
NC_020048.1,103437,17405,mitochondrion
NC_020049.1,1136245,16463,mitochondrion
NC_020092.1,41568,151033,photosynthetic plastid
NC_020093.1,68412,16353,mitochondrion
NC_020094.1,1209665,15326,mitochondrion
NC_020095.1,297507,16571,mitochondrion
NC_020096.1,319323,16594,mitochondrion
NC_020097.1,319321,16578,mitochondrion
NC_020098.1,41396,153953,photosynthetic plastid
NC_020136.1,260983,15973,mitochondrion
NC_020137.1,543901,16187,mitochondrion
NC_020138.1,118251,16162,mitochondrion
NC_020139.1,449092,16134,mitochondrion
NC_020140.1,8450,16151,mitochondrion
NC_020141.1,650642,16180,mitochondrion
NC_020142.1,543905,16238,mitochondrion
NC_020143.1,941641,15961,mitochondrion
NC_020144.1,1176167,16587,mitochondrion
NC_020145.1,1279364,16591,mitochondrion
NC_020146.1,3262,131760,photosynthetic plastid
NC_020147.1,1267209,138270,photosynthetic plastid
NC_020148.1,5308,156348,mitochondrion
NC_020149.1,123230,16768,mitochondrion
NC_020150.1,88701,16609,mitochondrion
NC_020151.1,1069385,17807,mitochondrion
NC_020152.1,3512,161304,photosynthetic plastid
NC_020153.1,159981,13536,mitochondrion
NC_020154.1,102246,16587,mitochondrion
NC_020155.1,260995,16293,mitochondrion
NC_020259.1,13813,153208,photosynthetic plastid
NC_020309.1,60873,15793,mitochondrion
NC_020310.1,651863,15900,mitochondrion
NC_020311.1,98080,15905,mitochondrion
NC_020312.1,728235,15611,mitochondrion
NC_020314.1,1131899,15620,mitochondrion
NC_020316.1,85864,160183,photosynthetic plastid
NC_020318.1,3406,159623,photosynthetic plastid
NC_020319.1,3396,162489,photosynthetic plastid
NC_020320.1,146995,150972,photosynthetic plastid
NC_020321.1,120273,127665,photosynthetic plastid
NC_020322.1,1155482,13931,mitochondrion
NC_020323.1,1155480,14197,mitochondrion
NC_020324.1,6932,14459,mitochondrion
NC_020325.1,1176404,16998,mitochondrion
NC_020327.1,278166,16572,mitochondrion
NC_020328.1,286166,15660,mitochondrion
NC_020329.1,463732,15657,mitochondrion
NC_020330.1,286172,15661,mitochondrion
NC_020331.1,42068,35626,mitochondrion
NC_020332.1,263815,24608,mitochondrion
NC_020333.1,34607,14780,mitochondrion
NC_020334.1,1155004,14676,mitochondrion
NC_020335.1,48827,14846,mitochondrion
NC_020336.1,109280,16525,mitochondrion
NC_020337.1,262081,16483,mitochondrion
NC_020338.1,77794,16603,mitochondrion
NC_020339.1,263547,16588,mitochondrion
NC_020341.1,4591,138935,photosynthetic plastid
NC_020343.1,1281821,14751,mitochondrion
NC_020344.1,1828414,16536,mitochondrion
NC_020346.1,1285428,17098,mitochondrion
NC_020347.1,1285437,16486,mitochondrion
NC_020348.1,61679,20308,mitochondrion
NC_020349.1,394686,16651,mitochondrion
NC_020350.1,284583,16487,mitochondrion
NC_020351.1,2734676,15274,mitochondrion
NC_020352.2,2185387,17668,mitochondrion
NC_020353.1,288795,107808,mitochondrion
NC_020354.1,1288119,92107,mitochondrion
NC_020355.1,58317,16605,mitochondrion
NC_020356.1,38527,16607,mitochondrion
NC_020357.1,58323,16602,mitochondrion
NC_020358.1,58324,17859,mitochondrion
NC_020359.1,201691,16485,mitochondrion
NC_020360.1,263551,16593,mitochondrion
NC_020361.1,56901,133259,photosynthetic plastid
NC_020362.1,1276543,161907,photosynthetic plastid
NC_020363.1,188518,155890,photosynthetic plastid
NC_020364.1,131289,157829,photosynthetic plastid
NC_020365.1,244023,157270,photosynthetic plastid
NC_020366.1,292647,158210,photosynthetic plastid
NC_020367.1,101696,157858,photosynthetic plastid
NC_020369.1,154970,74129,mitochondrion
NC_020370.1,134558,55918,mitochondrion
NC_020372.1,405043,165389,photosynthetic plastid
NC_020373.1,387771,16549,mitochondrion
NC_020374.1,519353,13605,mitochondrion
NC_020375.1,86515,18957,mitochondrion
NC_020423.1,381110,16839,mitochondrion
NC_020424.1,409288,16803,mitochondrion
NC_020425.1,88112,17018,mitochondrion
NC_020426.1,56796,16930,mitochondrion
NC_020427.1,36275,17615,mitochondrion
NC_020428.1,152621,15186,mitochondrion
NC_020429.1,238855,17785,mitochondrion
NC_020430.1,386457,103147,mitochondrion
NC_020431.1,226208,151328,photosynthetic plastid
NC_020432.2,9792,16403,mitochondrion
NC_020433.1,94398,16380,mitochondrion
NC_020435.1,352917,16620,mitochondrion
NC_020436.1,643344,17382,mitochondrion
NC_020437.1,33097,15993,mitochondrion
NC_020438.1,33097,222582,photosynthetic plastid
NC_020455.1,3847,402558,mitochondrion
NC_020456.1,944597,18844,mitochondrion
NC_020457.1,986334,19445,mitochondrion
NC_020458.1,58800,18674,mitochondrion
NC_020459.1,6148,16775,mitochondrion
NC_020460.2,3040,91616,photosynthetic plastid
NC_020461.1,476914,16527,mitochondrion
NC_020462.1,994862,16612,mitochondrion
NC_020463.1,716600,15922,mitochondrion
