acc,taxid,title,slen
NC_035623.1,459176,"Paeonia ludlowii voucher 20160519 chloroplast, complete genome",152687
NC_035624.1,94286,"Platycodon grandiflorus chloroplast, complete genome",171818
NC_035625.1,106552,"Malus florentina chloroplast, complete genome",159672
NC_035626.1,201358,"Napothera epilepidota mitochondrion, complete genome",17913
NC_035627.1,871933,"Lymantria umbrosa mitochondrion, complete genome",15642
NC_035628.1,241474,"Vanmanenia stenosoma mitochondrion, complete genome",16560
NC_035629.1,143352,"Microcebus berthae isolate KIR6.30 mitochondrion, complete genome",16904
NC_035630.1,236272,"Microcebus simmonsi isolate POLO5.19 mitochondrion, complete genome",16623
NC_035631.1,3043103,"Allocebus trichotis isolate TVY7.23 mitochondrion, complete genome",16863
NC_035632.2,4421,"Victoria cruziana isolate NY316 voucher BONN:C. Loehne 55 chloroplast, complete genome",158992
NC_035633.2,4412,"Barclaya longifolia isolate NY665 chloroplast, complete genome",158359
NC_035634.1,137570,"Breviscolex orientalis mitochondrion, complete genome",14011
NC_035635.1,507542,"Atractolytocestus huronensis mitochondrion, complete genome",15130
NC_035636.1,1892770,"Pithomyces chartarum mitochondrion, complete genome",68926
NC_035637.1,101617,"Musella lasiocarpa chloroplast, complete genome",169178
NC_035638.1,8720,"Agkistrodon contortrix mitochondrion, complete genome",16269
NC_035639.1,197085,"Pyrenaria menglaensis voucher YXQ211 plastid, complete genome",157122
NC_035640.1,182325,"Stewartia sinensis voucher YXQ15072001 plastid, complete genome",158177
NC_035641.1,182296,"Apterosperma oblata voucher YangSX 4361 plastid, complete genome",156590
NC_035642.1,197096,"Pyrenaria pingpienensis voucher YXQ026 plastid, complete genome",156926
NC_035643.1,182316,"Polyspora speciosa voucher YXQ145 plastid, complete genome",157066
NC_035644.1,2021137,"Pyrenaria khasiana voucher YangSX 5046 plastid, complete genome",157065
NC_035645.1,107826,"Polyspora axillaris voucher YXQ099 plastid, complete genome",156770
NC_035646.1,182305,"Gordonia brandegeei voucher N. Zamora 7196 plastid, complete genome",157604
NC_035648.1,2021136,"Polyspora dalgleishiana voucher BROWP 501 plastid, complete genome",156292
NC_035649.1,941568,"Stewartia cordifolia voucher YXQ144 plastid, complete genome",158450
NC_035650.1,941581,"Stewartia rubiginosa voucher YXQ189 plastid, complete genome",158433
NC_035651.1,542752,"Camellia szechuanensis voucher YangSX 5066 plastid, complete genome",157070
NC_035652.1,674061,"Camellia elongata voucher YangSX 5065 plastid, complete genome",156751
NC_035653.1,2021135,"Adinandra angustifolia voucher 14CS8678 plastid, complete genome",156344
NC_035654.1,1938279,"Diospyros strigosa voucher 14CS8899 plastid, complete genome",157508
NC_035655.1,47177,"Cheirogaleus major isolate MAS6.10 mitochondrion, complete genome",16596
NC_035656.1,47180,"Mirza coquereli isolate ZOMB53 mitochondrion, complete genome",17066
NC_035657.1,86749,"Magnolia insignis chloroplast, complete genome",160117
NC_035658.1,176942,"Megaceryle lugubris mitochondrion, complete genome",17223
NC_035659.1,109273,"Ambloplites rupestris mitochondrion, complete genome",16659
NC_035660.1,54319,"Etheostoma caeruleum mitochondrion, complete genome",16588
NC_035661.1,1898640,"Barthea barthei chloroplast, complete genome",155951
NC_035662.1,859262,"Hydrangea luteovenosa chloroplast, complete genome",157494
NC_035663.1,599903,"Leptogorgia capverdensis mitochondrion, complete genome",18722
NC_035665.1,3283487,"Eugorgia mutabilis mitochondrion, complete genome",19157
NC_035666.1,2025590,"Eunicella albicans mitochondrion, complete genome",19175
NC_035667.1,317547,"Eunicella cavolinii mitochondrion, complete genome",19316
NC_035668.1,1458677,"Pacifigorgia cairnsi mitochondrion, complete genome",19156
NC_035669.1,239010,"Leptogorgia alba mitochondrion, complete genome",18848
NC_035670.1,1502934,"Leptogorgia sarmentosa mitochondrion, complete genome",18722
NC_035671.1,106570,"Malus trilobata chloroplast, complete genome",160207
NC_035672.1,106571,"Malus tschonoskii isolate 262 chloroplast, complete genome",160034
NC_035673.1,548488,"Sporophila maximiliani mitochondrion, complete genome",16801
NC_035677.1,200917,"Acanthoscelides obtectus voucher GZU-CO-000001 mitochondrion, complete genome",16130
NC_035678.1,182329,"Adinandra millettii voucher 14CS8453 plastid, complete genome",156311
NC_035679.1,910037,"Laurentaeglyphea neocaledonica voucher MHNMPa1805 mitochondrion, complete genome",15752
NC_035680.2,299116,"Nymphaea ampla voucher B100458799 chloroplast, complete genome",159861
NC_035681.1,202155,"Erythronium sibiricum plastid, complete genome",151034
NC_035682.1,2777158,"Gibbula umbilicalis mitochondrion, complete genome",16277
NC_035684.1,1792630,"Durgades nigropicta mitochondrion, complete genome",15974
NC_035685.1,2008760,"Japanagallia spinosa mitochondrion, complete genome",15655
NC_035686.1,197095,"Pyrenaria microcarpa voucher YXQ101 plastid, complete genome",156864
NC_035687.1,197097,"Tutcheria championii voucher YXQ155 plastid, complete genome",156912
NC_035688.1,536627,"Camellia mairei voucher YangSX 5054 plastid, complete genome",156963
NC_035689.1,182307,"Polyspora longicarpa voucher YangSX 4779 plastid, complete genome",157058
NC_035690.1,182309,"Stewartia pteropetiolata voucher YXQ038 plastid, complete genome",158520
NC_035691.1,182322,"Stewartia malacodendron voucher FLAS 260361 plastid, complete genome",158376
NC_035693.1,182315,"Polyspora hainanensis voucher YXQ097 plastid, complete genome",156725
NC_035694.1,197086,"Pyrenaria oblongicarpa voucher YXQ216 plastid, complete genome",156732
NC_035695.1,155545,"Stewartia ovata voucher 18847*A plastid, complete genome",158416
NC_035696.1,184083,"Stewartia calcicola voucher YXQ030 plastid, complete genome",158425
NC_035697.1,59679,"Stewartia pseudocamellia voucher MO-6587810 plastid, complete genome",158409
NC_035698.1,184084,"Stewartia rostrata voucher YXQ15072003 plastid, complete genome",158077
NC_035699.1,182306,"Gordonia lasianthus voucher JCRA 110687 plastid, complete genome",157705
NC_035700.1,182312,"Laplacea fruticosa voucher N. Zamora 6038 plastid, complete genome",157214
NC_035701.1,129297,"Barringtonia fusicarpa voucher 14CS9189 plastid, complete genome",158927
NC_035702.1,55373,"Symplocos paniculata voucher 14CS8181 plastid, complete genome",156992
NC_035703.1,210373,"Diospyros dumetorum voucher 13CS7925 plastid, complete genome",157834
NC_035704.1,194715,"Pyrenaria diospyricarpa voucher 13CS6582 plastid, complete genome",157102
NC_035705.1,107821,"Barringtonia racemosa voucher 14CS8144 plastid, complete genome",159002
NC_035706.1,107827,"Ternstroemia gymnanthera voucher 13CS7178 plastid, complete genome",157753
NC_035707.1,125053,"Sladenia celastrifolia voucher 14CS8355 plastid, complete genome",161319
NC_035708.2,335940,"Symplocos costaricana voucher NZ7028 plastid, complete genome",157095
NC_035709.1,182331,"Anneslea fragrans voucher 13CS6723 plastid, complete genome",158182
NC_035710.1,125047,"Pentaphylax euryoides voucher 14CS8681 plastid, complete genome",156132
NC_035711.1,55371,"Sinojackia rehderiana voucher 14CS9081 plastid, complete genome",158760
NC_035712.1,167985,"Melliodendron xylocarpum voucher YXQ138 plastid, complete genome",157131
NC_035714.1,1343345,"Manticora tibialis mitochondrion, complete genome",16439
NC_035715.1,34573,"Nautilus pompilius mitochondrion, complete genome",15693
NC_035716.1,86209,"Kraemeria cunicularia voucher URM<JPN>:P48722 mitochondrion, complete genome",16682
NC_035717.1,1916784,"Schismatogobius ampluvinculus voucher NSMT:P127399 mitochondrion, complete genome",16639
NC_035718.1,40707,"Paeonia delavayi voucher 201605019 chloroplast, complete genome",154405
NC_035719.1,50765,"Gentiana macrophylla chloroplast, complete genome",149916
NC_035720.1,233186,"Cryptomonas curvata strain CNUKR plastid, complete genome",128285
NC_035721.1,173977,"Chroomonas placoidea strain CCAP978/8 plastid, complete genome",139432
NC_035722.1,3120,"Ulva pertusa mitochondrion, complete genome",69333
NC_035723.1,574487,"Musa itinerans chloroplast, complete genome",168985
NC_035724.1,45834,"Solanum dulcamara chloroplast, complete genome",155580
NC_035725.1,4792,"Phytophthora nicotianae mitochondrion, complete genome",37561
NC_035726.1,69696,"Conomurex luhuanus mitochondrion, complete genome",15799
NC_035727.1,252529,"Citrullus colocynthis chloroplast, complete genome",157147
NC_035728.1,55710,"Cerastoderma edule isolate Cedu.11.16.N01.022 mitochondrion, complete genome",14947
NC_035729.1,201515,"Caryopteris mongholica chloroplast, complete genome",151707
NC_035730.1,315943,"Hypogymnia vittata mitochondrion, complete genome",38888
NC_035731.1,44510,"Pseudemydura umbrina voucher Pseum_AA65990 mitochondrion, complete genome",16414
NC_035732.1,1262102,"Coelachne africana isolate Thomas3935 chloroplast, complete genome",135041
NC_035733.1,2023714,"Viviparus chui isolate FY-20160813-Vc-1 mitochondrion, complete genome",16392
NC_035734.1,527796,"Cipangopaludina chinensis isolate AY-20160612-Cch-2 mitochondrion, complete genome",17009
NC_035735.1,2653872,"Bellamya aeruginosa isolate AY-20160612-Ba-1 mitochondrion, complete genome",17013
NC_035736.1,29147,"Lates niloticus isolate A5135 mitochondrion, complete genome",16684
NC_035737.1,329030,"Psammoperca waigiensis isolate MAGNT:Fish:S.16708-010 mitochondrion, complete genome",16623
NC_035738.1,2023749,"Athyrium anisopterum chloroplast, complete genome",151284
NC_035739.1,253749,"Lepisorus clathratus chloroplast, complete genome",156998
NC_035740.1,321803,"Nemopilema nomurai mitochondrion, complete genome",17024
NC_035741.1,499914,"Rhopilema esculentum mitochondrion, complete genome",15855
NC_035742.1,28526,"Solanum pennellii chloroplast, complete genome",155254
NC_035743.1,2019967,"Salix oreinoma chloroplast, complete genome",155531
NC_035744.1,75722,"Salix tetrasperma chloroplast, complete genome",155671
NC_035745.1,431188,"Dendrobium candidum plastid, complete genome",152094
NC_035746.1,1003843,"Halcyon smyrnensis mitochondrion, complete genome",17892
NC_035747.1,670355,"Prunella fulvescens isolate PF201601 mitochondrion, complete genome",16837
NC_035748.1,904237,"Myuchelys bellii voucher Mybel_177 mitochondrion, complete genome",16465
NC_035749.1,451688,"Rasbora argyrotaenia isolate sbr4 voucher UB.1.122.4 mitochondrion, complete genome",16740
NC_035750.1,154761,"Miscanthus floridulus complete chloroplast genome, cultivar PI295762",141356
NC_035751.1,106893,Miscanthus junceus complete chloroplast genome,141149
NC_035753.1,183674,Miscanthus x giganteus complete chloroplast genome,141345
NC_035754.1,2023715,"Cipangopaludina ussuriensis isolate FY-20160813-Cu-1 mitochondrion, complete genome",16596
NC_035755.1,7052,"Aquatica lateralis isolate Llat-01 mitochondrion, complete genome",16719
NC_035756.1,1347737,"Reduvius tenebrosus mitochondrion, complete genome",17090
NC_035757.1,104385,"Ruditapes decussatus mitochondrion, complete genome",18995
NC_035760.1,1795068,"Siphocampylus krauseanus voucher Smith & Leiva 509 chloroplast, complete genome",164871
NC_035761.1,434394,"Centropogon nigricans voucher Muchhala 118 chloroplast, complete genome",165515
NC_035762.1,434381,"Burmeistera sodiroana voucher Muchhala 115 chloroplast, complete genome",165511
NC_035763.1,434380,"Burmeistera smaragdi voucher Muchhala 205 chloroplast, complete genome",165288
NC_035764.1,434379,"Burmeistera rubrosepala voucher Muchhala 220 chloroplast, complete genome",165466
NC_035765.1,434377,"Burmeistera resupinata voucher Muchhala 223 chloroplast, complete genome",166128
NC_035766.1,1899344,"Burmeistera pirrensis voucher Muchhala 491 chloroplast, complete genome",165353
NC_035767.1,1582538,"Burmeistera parviflora voucher Lagomarsino 53 chloroplast, complete genome",164989
NC_035768.1,434375,"Burmeistera oyacachensis voucher Muchhala 171 chloroplast, complete genome",164048
NC_035769.1,434373,"Burmeistera lutosa voucher Muchhala 133 chloroplast, complete genome",165367
NC_035771.1,1902834,"Burmeistera fuscoapicata voucher Clark 12955 chloroplast, complete genome",165222
NC_035772.1,368665,"Burmeistera domingensis voucher Muchhala 102 chloroplast, complete genome",165547
NC_035773.1,434370,"Burmeistera cylindrocarpa voucher Muchhala 202 chloroplast, complete genome",164865
NC_035774.1,368664,"Burmeistera cyclostigmata voucher Muchhala 145 chloroplast, complete genome",165032
NC_035775.1,360843,"Burmeistera crispiloba voucher Muchhala 123 chloroplast, complete genome",165350
NC_035776.1,434368,"Burmeistera ceratocarpa voucher Muchhala 177 chloroplast, complete genome",165820
NC_035777.1,434367,"Burmeistera borjensis voucher Muchhala 154 chloroplast, complete genome",163961
NC_035778.1,434366,"Burmeistera auriculata voucher Muchhala 120 chloroplast, complete genome",165772
NC_035801.1,387827,"Circus melanoleucos mitochondrion, complete genome",17749
NC_035802.1,337465,"Cinnamomum micranthum chloroplast, complete genome",152675
NC_035803.1,120506,"Rana chaochiaoensis voucher SM-ZJLW-01 mitochondrion, complete genome",18591
NC_035804.1,670907,"Rana kukunoris voucher RG-GYLW-01 mitochondrion, complete genome",18863
NC_035805.1,120507,"Rana omeimontis voucher YC-EMLW-01 mitochondrion, complete genome",19934
NC_035806.1,52410,"Aquila heliaca mitochondrion, complete genome",18067
NC_035807.1,180990,"Schizaea elegans voucher UPCB:Labiak 5550 chloroplast, complete genome",156603
NC_035808.1,148576,"Schizaea pectinata voucher Brande 245 (NY) chloroplast, complete genome",156392
NC_035809.1,83791,"Ulva flexuosa mitochondrion, complete genome",71545
NC_035810.1,452642,"Lutra sumatrana isolate 49 mitochondrion, complete genome",16586
NC_035811.1,452644,"Lutrogale perspicillata isolate 21 mitochondrion, complete genome",16043
NC_035812.1,226575,"Sundasciurus brookei isolate 6 mitochondrion, complete genome",16418
NC_035813.1,1002722,"Sundasciurus lowii isolate 4 mitochondrion, complete genome",16308
NC_035814.1,452597,"Aonyx cinerea isolate 16 mitochondrion, complete genome",16154
NC_035815.1,64678,"Callosciurus notatus isolate 3 mitochondrion, complete genome",16599
NC_035816.1,64676,"Callosciurus prevostii isolate 8 mitochondrion, complete genome",16674
NC_035817.1,127500,"Callosciurus finlaysonii isolate 43 mitochondrion, complete genome",16490
NC_035818.1,83761,"Sundamys muelleri mitochondrion, complete genome",16336
NC_035819.1,69073,"Leopoldamys sabanus isolate 14 mitochondrion, complete genome",15975
NC_035820.1,73865,"Trichys fasciculata isolate 59 mitochondrion, complete genome",16328
NC_035821.1,9848,"Tragulus napu isolate 52 mitochondrion, complete genome",15779
NC_035822.1,69083,"Niviventer cremoriventer isolate 12 mitochondrion, complete genome",16234
NC_035823.1,83791,"Ulva flexuosa chloroplast, complete genome",89414
NC_035824.1,1257147,"Graphis lineola voucher 46096 mitochondrion, complete genome",24945
NC_035825.1,543791,"Opegrapha vulgata voucher 45910 mitochondrion, complete genome",38937
NC_035826.1,209564,"Ricasolia amplissima voucher CONN:Goffinet 44719 mitochondrion, complete genome",82333
NC_035827.1,240657,"Hippocampus sindonis mitochondrion, complete genome",16500
NC_035828.1,1073559,"Chlorotocus crassicornis mitochondrion, complete genome",15935
NC_035829.1,331189,"Pelatantheria scolopendrifolia voucher PDBK2015-1268 chloroplast, complete genome",146860
NC_035830.1,2025843,"Gastrochilus fuscopunctatus voucher PDBK2015-1265 chloroplast, complete genome",146183
NC_035831.2,1499537,"Thrixspermum japonicum voucher PDBK2015-1270 chloroplast, complete genome",149220
NC_035832.1,1306921,"Oberonia japonica voucher PDBK2015-1269 chloroplast, complete genome",142996
NC_035833.1,225553,"Gastrochilus japonicus voucher PDBK2015-1266 chloroplast, complete genome",147697
NC_035834.1,342001,"Habenaria radiata voucher PDBK2015-1271 chloroplast, complete genome",155353
NC_035835.1,1132527,"Ampelopteris elegans chloroplast, complete genome",151772
NC_035836.1,65703,"Athyrium sheareri chloroplast, complete genome",151068
NC_035837.1,265675,"Asplenium pekinense chloroplast, complete genome",152479
NC_035838.1,78457,"Asplenium prolongatum chloroplast, complete genome",151115
NC_035839.1,672195,"Athyrium sinense chloroplast, complete genome",151319
NC_035840.1,1329983,"Austroblechnum melanocaulon chloroplast, complete genome",150202
NC_035841.1,872479,"Athyrium opacum chloroplast, complete genome",150979
NC_035842.1,2023766,"Christella appendiculata chloroplast, complete genome",151571
NC_035843.1,1565408,"Cystopteris chinensis chloroplast, complete genome",151269
NC_035844.1,104666,"Deparia lancea chloroplast, complete genome",151011
NC_035845.1,65729,"Deparia pycnosora chloroplast, complete genome",151126
NC_035846.1,65730,"Deparia viridifrons chloroplast, complete genome",150939
NC_035847.1,208742,"Diplaziopsis cavaleriana chloroplast, complete genome",151934
NC_035848.1,1030390,"Diplaziopsis javanica chloroplast, complete genome",151496
NC_035849.1,1392673,"Diplazium bellum chloroplast, complete genome",151601
NC_035850.1,86694,"Diplazium dilatatum chloroplast, complete genome",151114
NC_035851.1,2023767,"Diplazium dushanense chloroplast, complete genome",150179
NC_035852.1,1392717,"Diplazium striatum chloroplast, complete genome",150779
NC_035854.1,346293,"Dryopteris decipiens chloroplast, complete genome",150987
NC_035855.1,86699,"Homalosorus pycnocarpos chloroplast, complete genome",152159
NC_035856.1,147939,"Hymenasplenium unilaterale chloroplast, complete genome",151723
NC_035857.1,65731,"Hypodematium crenatum chloroplast, complete genome",149794
NC_035858.1,173909,"Macrothelypteris torresiana chloroplast, complete genome",151130
NC_035859.1,3277,"Matteuccia struthiopteris chloroplast, complete genome",151003
NC_035860.1,3281,"Onoclea sensibilis chloroplast, complete genome",148395
NC_035861.1,173912,"Thelypteris aurita chloroplast, complete genome",149917
NC_035862.1,208758,"Rhachidosorus consimilis chloroplast, complete genome",152642
NC_035864.1,872913,"Woodsia macrochlaena chloroplast, complete genome",150987
NC_035865.1,32120,"Woodsia polystichoides chloroplast, complete genome",150685
NC_035866.1,10157,"Myocastor coypus mitochondrion, complete genome",16874
NC_035867.1,162989,"Etheostoma tallapoosae mitochondrion, complete genome",16592
NC_035868.1,36245,"Alcedo atthis mitochondrion, complete genome",17383
NC_035869.1,96609,"Baicalia turriformis mitochondrion, complete genome",15127
NC_035870.1,96615,"Godlewskia godlewskia mitochondrion, complete genome",15224
NC_035871.1,577130,"Maackia herderiana mitochondrion, complete genome",15154
NC_035872.1,39288,"Circaeaster agrestis chloroplast, complete genome",151033
NC_035873.1,39325,"Kingdonia uniflora chloroplast, complete genome",147378
NC_035875.1,4212,"Ambrosia artemisiifolia chloroplast, complete genome",152215
NC_035876.1,2029165,"Echinacanthus lofouensis chloroplast, complete genome",151333
NC_035877.1,108826,"Corvus coronoides mitochondrion, complete genome",16925
NC_035878.1,506485,"Vitis acerifolia chloroplast, complete genome",161012
NC_035879.1,126655,"Favites abdita voucher 596 mitochondrion, complete genome",17825
NC_035881.1,108521,"Diphyllobothrium stemmacephalum mitochondrial DNA, complete genome",13716
NC_035882.1,13429,"Cinnamomum camphora chloroplast, complete genome",152570
NC_035883.1,293709,"Apis mellifera sahariensis mitochondrion, complete genome",16569
NC_035884.1,91242,"Conyza bonariensis chloroplast, complete genome",153014
NC_035885.1,473369,"Halosauropsis macrochir voucher ZMUC:P3369 mitochondrion, complete genome",16655
NC_035886.1,987935,"Euproctis similis mitochondrion, complete genome",15437
NC_035890.1,52344,"Helicoverpa assulta mitochondrion, complete genome",15373
NC_035891.1,378224,"Prunus cerasoides chloroplast, complete genome",157685
NC_035892.1,1351828,"Aconitum pseudolaeve chloroplast, complete genome",155628
NC_035893.1,595970,"Neanthes glandicincta voucher 497 mitochondrion, complete genome",16126
NC_035894.1,1045224,"Aconitum longecassidatum chloroplast, complete genome",155524
NC_035895.1,125261,"Alpinia oxyphylla chloroplast, complete genome",161351
NC_035896.1,232788,"Daphne kiusiana chloroplast, complete genome",171491
NC_035941.1,161261,"Decaisnea insignis chloroplast, complete genome",158683
NC_035942.1,1334976,"Pennahia pawak isolate BBW20170222 mitochondrion, complete genome",16408
NC_035943.1,310366,"Etheostoma chuckwachatte mitochondrion, complete genome",16603
NC_035944.1,417927,"Etheostoma jessiae mitochondrion, complete genome",16600
NC_035945.1,1070206,"Percina crypta mitochondrion, complete genome",16605
NC_035946.1,34633,"Rhipicephalus turanicus mitochondrion, complete genome",14717
NC_035947.1,268873,"Pinus greggii voucher DSG1311 plastid, complete genome",120501
NC_035948.1,469442,"Pinus jaliscana voucher DSG456 plastid, complete genome",120715
NC_035949.1,164243,"Pinus oocarpa voucher DSG711 plastid, complete genome",120596
NC_035950.1,137228,"Rheum wittrockii plastid, complete genome",159051
NC_035951.1,571435,"Xenograpsus ngatama mitochondrion, complete genome",16106
NC_035952.1,49451,"Nicotiana attenuata chloroplast, complete genome",155886
NC_035954.1,70549,"Xenocypris yunnanensis mitochondrion, complete genome",16630
NC_035955.1,171883,"Aesculus wangii chloroplast, complete genome",155871
NC_035956.1,215555,"Magnolia laevifolia chloroplast, complete genome",160120
NC_035957.1,99010,"Carmichaelia australis plastid, complete genome",122805
NC_035958.1,94286,"Platycodon grandiflorus mitochondrion, complete genome",1249593
NC_035959.1,1739658,"Gynostemma cardiospermum chloroplast, complete genome",159042
NC_035960.1,91214,"Juglans cinerea chloroplast, complete genome",160288
NC_035961.1,3747,"Fragaria x ananassa cultivar Benihoppe chloroplast, complete genome",155549
NC_035962.1,46367,"Bupleurum falcatum mitochondrion, complete genome",463792
NC_035963.1,4081,"Solanum lycopersicum bio-material TGRC:LA1421 mitochondrion, complete genome",446257
NC_035964.1,28526,"Solanum pennellii bio-material TGRC:LA0716 mitochondrion, complete genome",423596
NC_035965.1,91216,"Juglans hindsii chloroplast, complete genome",160406
NC_035966.1,91217,"Juglans major chloroplast, complete genome",160276
NC_035967.1,16719,"Juglans nigra chloroplast, complete genome",160274
NC_035968.1,59052,"Aphyllanthes monspeliensis voucher K:2001826 chloroplast, complete genome",157009
NC_035969.1,272862,"Asparagus schoberioides voucher K:Hana141018-1 chloroplast, complete genome",156875
NC_035970.1,261434,"Maianthemum bicolor voucher K:Hana140621-1 chloroplast, complete genome",157176
NC_035971.1,2033002,"Agapanthus coddii voucher K:20081397 chloroplast, complete genome",157055
NC_035972.1,81729,"Anthericum ramosum voucher K:19866218 chloroplast, complete genome",155812
NC_035973.1,80338,"Spondias mombin chloroplast, complete genome",162302
NC_035974.1,1567104,"Citrullus amarus isolate Grif16135 chloroplast, complete genome",157008
NC_035975.1,260675,"Citrullus rehmii isolate PI 632755 chloroplast, complete genome",157135
NC_035976.1,2033720,"Carassius auratus x Megalobrama amblycephala x Carassius cuvieri mitochondrion, complete genome",16596
NC_035977.1,70143,"Calypogeia integristipula mitochondrion, complete genome",163057
NC_035978.1,41852,"Calypogeia arguta mitochondrion, complete genome",159061
NC_035979.1,373805,"Calypogeia suecica mitochondrion, complete genome",161960
NC_035980.1,1263430,"Calypogeia neogaea mitochondrion, complete genome",162175
NC_035981.1,1642187,"Johnius carouna isolate ZJ2015081504 mitochondrion, complete genome",18752
NC_035982.1,1003939,"Atrobucca nibe isolate WL2017041201 mitochondrion, complete genome",16842
NC_035983.1,1940113,"Oscarella pearsei mitochondrion, complete genome",20320
NC_035986.1,1920007,"Donax variegatus mitochondrion, complete genome",17195
NC_035988.1,82311,"Lilium amabile chloroplast, complete genome",152567
NC_035989.1,78998,"Lilium callosum chloroplast, complete genome",152626
NC_035990.1,84056,"Lilium philadelphicum chloroplast, complete genome",152175
NC_035991.1,451848,"Copadichromis trimaculatus mitochondrion, complete genome",16581
NC_035992.1,323764,"Chilotilapia rhoadesii mitochondrion, complete genome",16580
NC_035993.1,57301,"Cyathochromis obliquidens mitochondrion, complete genome",16581
NC_035994.1,2036785,"Schizothorax curvilabiatus mitochondrion, complete genome",16578
NC_035995.1,261425,"Polygonatum stenophyllum voucher K:Hana140625-2 chloroplast, complete genome",156028
NC_035996.1,470286,"Xanthorrhoea preissii voucher K:20005062 chloroplast, complete genome",158116
NC_035997.1,2033023,"Barnardia japonica voucher K:Hana140807-3 chloroplast, complete genome",156079
NC_035998.1,2016532,"Cordyline indivisa voucher K:20071291 chloroplast, complete genome",155196
NC_035999.1,1035810,"Hosta minor voucher K:SSK01 chloroplast, complete genome",156674
NC_036000.1,51459,"Milla biflora voucher K:2000-242 chloroplast, complete genome",156684
NC_036001.1,121073,"Cassytha filiformis chloroplast DNA, complete genome",114622
NC_036002.1,128609,"Cryptocarya chinensis chloroplast DNA, complete genome",157718
NC_036003.1,684742,"Neocinnamomum delavayi chloroplast DNA, complete genome",150850
NC_036004.1,691719,"Anabolia bimaculata voucher JBWM0362999 mitochondrion, complete genome",15048
NC_036005.1,707283,"Culex usquatus isolate SP29_156 mitochondrion, complete genome",15573
NC_036006.1,526217,"Culex coronator isolate RS10_109 mitochondrion, complete genome",15576
NC_036007.1,2037950,"Culex usquatissimus isolate RO25_19 mitochondrion, complete genome",15574
NC_036008.1,1461356,"Culex camposi isolate MS04_38 mitochondrion, complete genome",15570
NC_036009.1,756011,"Vitis mustangensis chloroplast INRA:8020 Mtp1 DNA, complete genome",161008
NC_036010.1,216510,"Pedicularis cheilanthifolia chloroplast, complete genome",155159
NC_036011.1,1347736,"Phymata americana mitochondrion, complete genome",15954
NC_036012.1,1347739,"Carcinocoris binghami mitochondrion, complete genome",15344
NC_036013.1,1347741,"Cnizocoris sinensis mitochondrion, complete genome",15262
NC_036014.1,29655,"Zostera marina chloroplast, complete genome",143877
NC_036016.1,507600,"Tringa semipalmata mitochondrion, complete genome",16603
NC_036017.1,496568,"Bupleurum boissieuanum chloroplast, complete genome",156108
NC_036018.1,35658,"Mastomys coucha mitochondrion, complete genome",16216
NC_036019.1,2039006,"Euonymus schensianus chloroplast, complete genome",157702
NC_036020.1,30520,"Bos frontalis mitochondrion, complete genome",16346
NC_036021.1,1671323,"Tigridiopalma magnifica chloroplast, complete genome",155663
NC_036022.1,89595,"Dendronephthya putteri mitochondrion, complete genome",18853
NC_036024.1,4565,"Triticum aestivum cultivar Chinese Yumai mitochondrion, complete genome",452526
NC_036033.1,1857659,"Megalobrama amblycephala x (Megalobrama amblycephala x Parabramis pekinensis) mitochondrion, complete genome",16623
NC_036034.1,1857658,"Megalobrama amblycephala x (Megalobrama amblycephala x Megalobrama terminalis) mitochondrion, complete genome",16623
NC_036035.1,10060,"Ondatra zibethicus mitochondrion, complete genome",16348
NC_036036.1,76453,"Hypolytrum nemorum chloroplast, complete genome",180648
NC_036037.1,432999,"Carex neurocarpa voucher PDBK 2014-0675 chloroplast, complete genome",181397
NC_036038.1,618424,"Prosopocoilus confucius mitochondrion, complete genome",16951
NC_036039.1,183478,"Stemphylium lycopersici strain CIDEFI-216 mitochondrion, complete genome",75911
NC_036040.1,77070,"Populus lasiocarpa chloroplast, complete genome",155783
NC_036041.1,1737450,"Potamotrygon magdalenae mitochondrion, complete genome",17429
NC_036042.1,1454225,"Epicauta gorhami mitochondrion, complete genome",15691
NC_036043.1,1884681,"Epicauta tibialis mitochondrion, complete genome",15716
NC_036044.1,1914940,"Hycleus marcipoli mitochondrion, complete genome",15923
NC_036045.1,1248972,"Hycleus phaleratus mitochondrion, complete genome",16003
NC_036046.1,1914941,"Mylabris aulica mitochondrion, complete genome",15758
NC_036047.1,62943,"Hospitalitermes medioflavus mitochondrion, complete genome",14950
NC_036048.1,394691,"Sebastes fasciatus mitochondrion, complete genome",16400
NC_036049.1,1981013,"Hippocampus jayakari mitochondrion, complete genome",16520
NC_036050.1,36247,"Gyps fulvus mitochondrion, complete genome",18094
NC_036051.1,6168,"Planocera reticulata mitochondrion, complete genome",14724
NC_036052.1,16922,"Camptotheca acuminata chloroplast, complete genome",162382
NC_036053.1,8630,"Laticauda laticaudata mitochondrion, complete genome",17209
NC_036054.1,8628,"Laticauda colubrina mitochondrion, complete genome",17450
NC_036055.1,8631,"Laticauda semifasciata mitochondrion, complete genome",17170
NC_036056.1,357169,"Odontobutis haifengensis mitochondrion, complete genome",17016
NC_036057.1,1223490,"Athetis lepigone isolate HB25 mitochondrion, complete genome",15589
NC_036060.1,36179,"Scaphirhynchus suttkusi isolate NFWFLH10433 mitochondrion, complete genome",16495
NC_036061.1,1397840,"Bergenia scopulosa chloroplast, complete genome",156041
NC_036062.1,334755,"Nomadacris japonica mitochondrion, complete genome",15638
